Timestamp,Level,Context,Message
"2025-11-26 11:53:06.630","INFO","Ensure-Modules","Checking required modules: ActiveDirectory, ExchangeOnlineManagement"
"2025-11-26 11:53:06.635","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Mailbox-Stats/Modules"
"2025-11-26 11:53:06.661","VERBOSE","Ensure-Modules","Local module file/folder not found in any search root for 'ActiveDirectory'"
"2025-11-26 11:53:06.672","INFO","Ensure-Modules","Module already loaded: ExchangeOnlineManagement (3.4.0)"
"2025-11-26 11:53:06.672","WARN","Ensure-Modules","Missing modules after import attempts: ActiveDirectory"
"2025-11-26 11:53:06.679","INFO","Ensure-Modules","Installing module 'ActiveDirectory' (Scope=CurrentUser)"
"2025-11-26 11:54:05.893","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 11:54:05.893","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Mailbox-Stats/Modules"
"2025-11-26 11:54:05.904","INFO","Ensure-Modules","Module already loaded: ExchangeOnlineManagement (3.4.0)"
"2025-11-26 11:54:05.906","INFO","Ensure-Modules","All required modules loaded successfully."
